carpark_id,area,address,x_coordinate,y_coordinate,latitude,longitude,total_lots,agency,dataset
U1,BUKIT BATOK,BLK 101/110 BUKIT BATOK WEST AVENUE 6,18391.6404,36723.769,1.348389703017815,103.74698150151225,516.0,HDB,hdb
U10,BUKIT BATOK,BLK 178/184 BUKIT BATOK WEST AVENUE 8,18029.1321,36437.8173,1.345803542198286,103.7437242364322,214.0,HDB,hdb
U11,BUKIT BATOK,BLK 166 BUKIT BATOK WEST AVENUE 8,17982.2826,36616.6603,1.3474209171225677,103.74330320604493,120.0,HDB,hdb
U12,BUKIT BATOK,BLK 201/211 BUKIT BATOK STREET 21,18668.6078,36565.8437,1.346961571834135,103.74947027262137,773.0,HDB,hdb
U13,BUKIT BATOK,BLK 212/230 BUKIT BATOK STREET 21,19086.17,36658.92,1.347803447002071,103.75322229615675,661.0,HDB,hdb
U15,BUKIT BATOK,BLK 231/237 BUKIT BATOK EAST AVENUE 5,19332.565,36778.361,1.3488837002095344,103.75543627209288,419.0,HDB,hdb
U17,BUKIT BATOK,BLK 242/253 BUKIT BATOK EAST AVENUE 2/5,19484.9573,36912.4024,1.3500959655979141,103.75680557319679,427.0,HDB,hdb
U18,BUKIT BATOK,BLK 254/265 BUKIT BATOK EAST AVENUE 4,19699.5049,37022.2461,1.3510894123958355,103.7587333867077,312.0,HDB,hdb
U19,BUKIT BATOK,BLK 266/284 BUKIT BATOK EAST AVENUE 3/4,19653.7625,36736.2392,1.3485028571990136,103.75832244183836,501.0,HDB,hdb
U2,BUKIT BATOK,BLK 111/132 BUKIT BATOK WEST AVENUE 6,18316.8368,36887.7302,1.3498724840033913,103.74630929254846,1109.0,HDB,hdb
U21,BUKIT BATOK,BLK 301/309 BUKIT BATOK STREET 31,18569.9729,37715.1464,1.3573554142331292,103.74858361747656,313.0,HDB,hdb
U22,BUKIT BATOK,BLK 310/323 BUKIT BATOK STREET 32/33,18339.7245,38092.0958,1.36076433250331,103.74651456484908,495.0,HDB,hdb
U23,BUKIT BATOK,BLK 407-426 BUKIT BATOK WEST AVENUE 2/4,18234.0951,38341.652,1.3630211925739621,103.7455653333894,713.0,HDB,hdb
U24,BUKIT BATOK,BLK 324/336 BUKIT BATOK STREET 32/33,18465.58,38439.7002,1.3639079799053717,103.74764534848646,364.0,HDB,hdb
U24T,BUKIT BATOK,BLK 333/334 BUKIT BATOK WEST AVENUE 4,18441.4863,38506.9696,1.364516331909098,103.7474288288373,46.0,HDB,hdb
U25,BUKIT BATOK,BLK 337-353/355-356 BUKIT BATOK STREET 34,18728.7311,38350.9289,1.3631052483305381,103.75000996550098,625.0,HDB,hdb
U26,BUKIT BATOK,BLK 354/357-370 BUKIT BATOK STREET 31,18742.24,38064.66,1.3605163414314803,103.75013144078066,595.0,HDB,hdb
U27,BUKIT BATOK,BLK 371-373 BUKIT BATOK STREET 31,18846.1378,37962.5676,1.3595930873236584,103.75106506231056,20.0,HDB,hdb
U28,BUKIT BATOK,BLK 374-376 BUKIT BATOK STREET 31,18790.052,37772.6738,1.3578757399246892,103.75056115304244,15.0,HDB,hdb
U29,BUKIT BATOK,BLK 376 BUKIT BATOK MSCP,18649.5445,37851.9011,1.358592198792112,103.74929857711686,338.0,HDB,hdb
U3,BUKIT BATOK,BLK 133/139 BUKIT BATOK WEST AVENUE 6,18098.9773,37055.7538,1.351391956544542,103.74435163478522,159.0,HDB,hdb
