carpark_id,name,latitude,longitude
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,1.3010632720874966,103.85411804993062
ACM,BLK 98A ALJUNIED CRESCENT,1.3210042901059609,103.88506094761496
AH1,BLK 101 JALAN DUSUN,1.328283495109407,103.84461988914568
AK19,BLOCK 253 ANG MO KIO STREET 21,1.36909121614356,103.83498485034055
AK31,BLK 302/348 ANG MO KIO STREET 31,1.3661204243173295,103.84663563161574
AK52,BLK 513 ANG MO KIO STREET 53,1.3724386334422467,103.85029569742481
AK83,BLK 5022 TO 5095 ANG MO KIO INDUSTRIAL PARK 2,1.3766782086821643,103.86384511310682
AK9,ANG MO KIO AVENUE 9,1.3835990576551445,103.8483680866534
AM14,BLK 227 ANG MO KIO STREET 23,1.3687410945550118,103.84030110265202
AM16,BLK 256A ANG MO KIO STREET 21,1.3703498012136124,103.83571828515677
AM18,BLK 308C ANG MO KIO AVENUE 1,1.3655400127862634,103.84461939021914
AM19,BLK 260 ANG MO KIO STREET 21,1.3688861979339544,103.83453102382205
AM20,BLK 309B ANG MO KIO STREET 31,1.3646977329371188,103.84608858611757
AM22,BLK 316B ANG MO KIO STREET 31,1.3645882914751264,103.84765302635225
AM32,BLK 255A ANG MO KIO STREET 21,1.3705325244610713,103.8343768155432
AM43,BLK 455 ANG MO KIO STREET 44,1.3686107186719942,103.85730354666741
AM46,BLK 588 ANG MO KIO STREET 52,1.3721783233234015,103.85339638441604
AM51,BLK 700 ANG MO KIO AVENUE 6,1.369915001718853,103.84669851649676
AM64,BLK 590 ANG MO KIO STREET 51,1.3714570202946914,103.85309824605719
AM79,BLK 596 ANG MO KIO STREET 52,1.3723282292064236,103.85132794564834
AM80,BLK 130A ANG MO KIO STREET 12,1.3706469901715583,103.84186149048261
AM81,BLK 132A ANG MO KIO STREET 12,1.3716392420558656,103.84194781252401
AM96,BLK 352A ANG MO KIO STREET 32,1.3640741492788215,103.85094037122862
AR1L,3 AND 5 DOVER ROAD,1.3038767185244577,103.78263177920336
AR1M,BLK 2A DOVER ROAD,1.3028486840208244,103.7836667743232
AR2L,BLK 26 AND 27 DOVER CRESCENT,1.3059132344622109,103.78115465517361
AR2M,BLK 28 DOVER CRESCENT,1.3047388928304149,103.78167448932463
AR5M,BLK 19A DOVER CRESCENT,1.307343526593196,103.78446333008414
AR7L,12 TO 14 DOVER CLOSE EAST,1.305807720561871,103.7855911365702
AR7M,BLK 12A DOVER CLOSE EAST,1.3047713772680545,103.78519200383877
AR9,BLK 20/22/23 DOVER CRESCENT,1.3072843627095663,103.78343964059528
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,1.2855825549923126,103.80321526415888
AV2,BLK 1001/1010 BUKIT MERAH LANE 1/3,1.284911285621432,103.80583744238771
A1,BLK 215 ANG MO KIO STREET 22,1.3667143987756958,103.84171281191207
A10,BLK 201/202 ANG MO KIO STREET 22,1.3686329816140796,103.8445240151766
A100,BLK 650 ANG MO KIO STREET 61,1.3779874731949442,103.842602544842
A101,BLK 651 ANG MO KIO AVENUE 9,1.3830389165845827,103.84173950080415
A11,BLK 223/226/226A-226D ANG MO KIO STREET 22,1.3670355338571134,103.8381810968511
A12,BLK 229/230 ANG MO KIO STREET 22,1.3685678874797558,103.83875932066391
A13,BLK 232/233 ANG MO KIO STREET 22,1.3680002216512899,103.83680961188561
A15,BLK 226E-226H ANG MO KIO STREET 22,1.3669676105068467,103.84041745596973
A2,BLK 206/207 ANG MO KIO STREET 22,1.3662370557741221,103.84304639719952
A20,BLK 304/307/319 ANG MO KIO STREET 31,1.3649433806415425,103.84845709182149
A21,BLK 325/326/301 ANG MO KIO STREET 31,1.3681275586189163,103.8463132241709
A23,BLK 347A ANG MO KIO AVENUE 3,1.3673354664536144,103.8489133401168
A24,BLK 338/340 ANG MO KIO STREET 32,1.3647534118811007,103.84939765277373
A25,BLK 330/337 ANG MO KIO AVENUE 8,1.3627693074285172,103.85162748927652
A26,BLK 113/114/118 ANG MO KIO AVENUE 4,1.3727702022189985,103.83544756414679
A27,BLK 108/109/110 ANG MO KIO STREET 11,1.3703630515467693,103.8383206515405
A28,BLK 103/105/107 ANG MO KIO STREET 11,1.3716499282813763,103.83746428814854
A29,BLK 347 ANG MO KIO AVENUE 3,1.3672262594201823,103.84871559664501
A30,BLK 129/134 ANG MO KIO STREET 12,1.3709897466881407,103.84241897219825
A30A,BLK 133 ANG MO KIO STREET 12,1.3702188426869566,103.84275051934156
A31,BLK 119/128 ANG MO KIO STREET 12,1.3704511192782494,103.84369994453257
A31A,BLK 125/126 ANG MO KIO STREET 12,1.3718593403230517,103.84365816613547
A33,BLK 253/254 ANG MO KIO STREET 21,1.3700210113414353,103.83469194577
A34,BLK 422/425 ANG MO KIO STREET 42,1.368356473219034,103.85166737410135
A35,BLK 426/428/435 ANG MO KIO STREET 43,1.3686463926053345,103.85408147411323
A36,BLK 436/443/445 ANG MO KIO STREET 43,1.3664071280973518,103.85527878732958
A37,BLK 446/449/453 ANG MO KIO STREET 43,1.3681130684869152,103.85555655070138
A38,BLK 407/410/421 ANG MO KIO AVENUE 10,1.3639637058040284,103.85458838271062
A39,BLK 401/405 ANG MO KIO AVENUE 10,1.361151021658679,103.85407215463408
A4,BLK 217/220 ANG MO KIO AVENUE 1,1.365691620587143,103.84119216501767
A40,BLK 471/476 ANG MO KIO STREET 44,1.3623561505378592,103.8569820859847
A41,BLK 466/470 ANG MO KIO STREET 44,1.364936935305799,103.85693260004962
