carpark_id,area,address,latitude,longitude,x_coordinate,y_coordinate,total_lots,agency,dataset
BJ43,BUKIT PANJANG,BLK 603A SENJA ROAD,1.381720446,103.7616776,20027.2654,40409.2626,1004,HDB,hdb
BJ44,BUKIT PANJANG,BLK 177A LOMPANG ROAD,1.380648941,103.7649868,20395.5322,40290.7701,497,HDB,hdb
BJ45,BUKIT PANJANG,BLK 180A LOMPANG ROAD,1.378687961,103.7650088,20397.9729,40073.9347,232,HDB,hdb
BJ48,BUKIT PANJANG,BLK 651A SENJA LINK,1.38718579,103.764603,20352.8446,41013.5834,672,HDB,hdb
BJ49,BUKIT PANJANG,BLK 611A/613A/615A/616A BUKIT PANJANG RING ROAD/SENJA ROAD,1.38489746,103.7614868,20006.0358,40760.5616,1481,HDB,hdb
BJ50,BUKIT PANJANG,BLK 468A SEGAR ROAD,1.388183998,103.7736889,21363.991,41123.9328,854,HDB,hdb
BJ51,BUKIT PANJANG,BLK 181A JELEBU ROAD,1.379398409,103.7634643,20226.0907,40152.4974,553,HDB,hdb
BJ52,BUKIT PANJANG,BLK 185A JELEBU ROAD,1.379113361,103.7626379,20134.1254,40120.981,319,HDB,hdb
BJ53,BUKIT PANJANG,BLK 480A SEGAR ROAD,1.389802808,103.7719321,21168.4806,41302.9377,1064,HDB,hdb
BJ54,BUKIT PANJANG,BLK 476A SEGAR ROAD,1.389047809,103.7735001,21342.9805,41219.4493,625,HDB,hdb
BJ55,BUKIT PANJANG,BLK 625A SENJA ROAD,1.386282945,103.760777,19927.0486,40913.764,873,HDB,hdb
BJ56,BUKIT PANJANG,BLK 629A SENJA ROAD,1.385891216,103.7589498,19723.7125,40870.4549,554,HDB,hdb
BJ57,BUKIT PANJANG,BLK 628 SENJA ROAD,1.385251203,103.7601704,19859.549,40799.6812,24,HDB,hdb
BJ58,BUKIT PANJANG,BLK 455A SEGAR ROAD,1.38752443,103.7712726,21095.0855,41051.008,850,HDB,hdb
BJ60,BUKIT PANJANG,BLK 547 SEGAR ROAD,1.388321004,103.769519,20899.934,41139.0944,920,HDB,hdb
BJ61,BUKIT PANJANG,BLK 548 SEGAR ROAD,1.389004864,103.7677929,20707.8422,41214.7175,470,HDB,hdb
BJ62,BUKIT PANJANG,BLK 454 FAJAR ROAD,1.384268625,103.7713963,21108.8428,40690.9971,68,HDB,hdb
BJ63,BUKIT PANJANG,BLK 443 FAJAR ROAD,1.381315511,103.7702911,20985.8418,40364.4597,1640,HDB,hdb
BJ65,BUKIT PANJANG,BLK 632 SENJA ROAD,1.384704157,103.7587614,19702.7354,40739.1965,224,HDB,hdb
BJ66,BUKIT PANJANG,BLK 634 SENJA ROAD,1.386248576,103.7577026,19584.9139,40909.9744,868,HDB,hdb
BJ67,BUKIT PANJANG,BLK 636 SENJA ROAD,1.387349956,103.7579829,19616.1105,41031.7585,940,HDB,hdb
BJ68,BUKIT PANJANG,BLK 422A FAJAR ROAD,1.385381725,103.7699702,20950.1385,40814.0823,253,HDB,hdb
BJ69,BUKIT PANJANG,BLK 643 SENJA CLOSE,1.387851959,103.7630728,20182.5515,41087.2501,428,HDB,hdb
BJ71,BUKIT PANJANG,BLK 642 SENJA CLOSE,1.387001705,103.761917,20053.9274,40993.2371,312,HDB,hdb
BJ72,BUKIT PANJANG,BLK 638 SENJA CLOSE,1.388877846,103.760872,19937.6398,41200.6949,200,HDB,hdb
BJ8,BUKIT PANJANG,BLK 201/218 PETIR ROAD,1.374699731,103.7735958,21353.5943,39632.9105,988,HDB,hdb
BJAL,BUKIT PANJANG,BLK 517 - 519 JELAPANG ROAD,1.387946363,103.7659717,20505.161,41097.6794,38,HDB,hdb
BJBL,BUKIT PANJANG,BLK 533 - 534 BUKIT PANJANG RING ROAD,1.383974565,103.7638803,20272.3997,40658.5045,13,HDB,hdb
BJMP,BUKIT PANJANG,BLK 259B BANGKIT ROAD,1.377766424,103.7735152,21344.6326,39972.0102,60,HDB,hdb
BKE1,ROCHOR,BLK 668 CHANDER ROAD,1.307818931,103.8515963,30034.1445,32237.498,22,HDB,hdb
BKE2,KALLANG,BLK 681/682 RACE COURSE ROAD,1.314128097,103.85548,30466.3496,32935.1367,17,HDB,hdb
BKE3,KALLANG,BLK 682/683 RACE COURSE ROAD,1.31441523,103.8558008,30502.0605,32966.8867,17,HDB,hdb
BKE4,KALLANG,BLK 684/685 RACE COURSE ROAD,1.31445037,103.856841,30617.8164,32970.7734,112,HDB,hdb
BKE7,KALLANG,BLK 678 PERUMAL ROAD,1.312612957,103.855322,30448.766,32767.6002,168,HDB,hdb
BKE9,ROCHOR,BLK 668 CHANDER ROAD,1.307337213,103.8514638,30019.3942,32184.232,38,HDB,hdb
BKRM,KALLANG,BLK 6A BOON KENG ROAD,1.317276303,103.8613681,31121.6383,33283.2558,278,HDB,hdb
